day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,mode,hibernation_reason,hibernation_hours,max_ledger_error,actions
48,1,48,8,13,129.086823,3183.734619,0,1507.262207,89.275482,276.973663,0.340588,23827.863281,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
49,1,49,9,8,132.423126,3030.237305,0,1507.255859,121.414658,279.110718,0,23705.285156,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
50,1,50,9,8,136.559799,2874.137207,0,1507.200928,143.784485,278.929535,0,23570.183594,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
51,1,51,8,8,140.668289,2717.084473,0,1507.145142,155.240433,274.695313,0.677469,23423.859375,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
52,1,52,9,8,143.18605,2557.692871,0,1507.090576,178.721527,278.247467,0.109123,23287.779297,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
53,1,53,9,8,146.494568,2391.03418,0,1506.966064,99.080986,279.086609,0,23049.136719,0,0,0,4,Active,None,0,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems"
54,1,54,8,8,151.412094,2223.514893,0,1506.855835,132.651367,279.086609,0,22928.050781,0,0,0,4,Active,None,0,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems"
55,1,55,8,8,156.247742,2054.605713,0,1506.735229,158.883194,278.905426,0,22800.601563,0,0,0,4,Active,None,0,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
56,1,56,8,8,161.439957,1880.079468,0,1506.567261,130.697189,274.109497,0.800172,22562.613281,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
57,1,57,8,8,166.135834,1714.842285,0,1506.352783,154.841644,274.784698,0.663145,22431.65625,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
58,1,58,15,3,171.52861,1543.61792,0,1506.03418,65.560638,272.594696,1.042536,22180.964844,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
59,1,59,5,4,177.809601,3067.877686,0,1589.458862,92.24099,276.490112,0.415217,24007.314453,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
60,1,60,8,8,180.640747,2908.356689,0,1589.088745,127.062447,279.086456,0,23894.666016,0,0,0,4,Active,None,0,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems"
61,1,61,8,8,184.88707,2749.864502,0,1588.596313,150.931442,275.90271,0.484254,23713.179688,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
62,1,62,9,3,188.737854,2587.395752,0,1588.049438,164.76561,276.868835,0,23570.888672,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|spoil wet organic matter|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
